DATE_SK,DATE_VALUE,DATE_NUM,YEAR_MONTH_NUMBER,CALENDAR_QUARTER,MONTH_NUM,MONTH_NAME,MONTH_SHORT_NAME,WEEK_NUM,DAY_NUM_OF_YEAR,DAY_NUM_OF_MONTH,DAY_NUM_OF_WEEK,DAY_NAME,DAY_SHORT_NAME,QUARTER_NUM,YEAR_QUARTER_NUM,DAY_NUM_OF_QUARTER
19910101,1991-01-01,19910101,199101,Qtr 1,1,January,Jan,1,1,1,3,Tuesday,Tue,1,19911,1
19910102,1991-01-02,19910102,199101,Qtr 1,1,January,Jan,1,2,2,4,Wednesday,Wed,1,19911,2
19910103,1991-01-03,19910103,199101,Qtr 1,1,January,Jan,1,3,3,5,Thursday,Thu,1,19911,3
19910104,1991-01-04,19910104,199101,Qtr 1,1,January,Jan,1,4,4,6,Friday,Fri,1,19911,4
19910105,1991-01-05,19910105,199101,Qtr 1,1,January,Jan,1,5,5,7,Saturday,Sat,1,19911,5
19910106,1991-01-06,19910106,199101,Qtr 1,1,January,Jan,1,6,6,1,Sunday,Sun,1,19911,6
19910107,1991-01-07,19910107,199101,Qtr 1,1,January,Jan,2,7,7,2,Monday,Mon,1,19911,7
19910108,1991-01-08,19910108,199101,Qtr 1,1,January,Jan,2,8,8,3,Tuesday,Tue,1,19911,8
19910109,1991-01-09,19910109,199101,Qtr 1,1,January,Jan,2,9,9,4,Wednesday,Wed,1,19911,9
19910110,1991-01-10,19910110,199101,Qtr 1,1,January,Jan,2,10,10,5,Thursday,Thu,1,19911,10
19910111,1991-01-11,19910111,199101,Qtr 1,1,January,Jan,2,11,11,6,Friday,Fri,1,19911,11
19910112,1991-01-12,19910112,199101,Qtr 1,1,January,Jan,2,12,12,7,Saturday,Sat,1,19911,12
19910113,1991-01-13,19910113,199101,Qtr 1,1,January,Jan,2,13,13,1,Sunday,Sun,1,19911,13
19910114,1991-01-14,19910114,199101,Qtr 1,1,January,Jan,3,14,14,2,Monday,Mon,1,19911,14
19910115,1991-01-15,19910115,199101,Qtr 1,1,January,Jan,3,15,15,3,Tuesday,Tue,1,19911,15
19910116,1991-01-16,19910116,199101,Qtr 1,1,January,Jan,3,16,16,4,Wednesday,Wed,1,19911,16
19910117,1991-01-17,19910117,199101,Qtr 1,1,January,Jan,3,17,17,5,Thursday,Thu,1,19911,17
19910118,1991-01-18,19910118,199101,Qtr 1,1,January,Jan,3,18,18,6,Friday,Fri,1,19911,18
19910119,1991-01-19,19910119,199101,Qtr 1,1,January,Jan,3,19,19,7,Saturday,Sat,1,19911,19
19910120,1991-01-20,19910120,199101,Qtr 1,1,January,Jan,3,20,20,1,Sunday,Sun,1,19911,20
19910121,1991-01-21,19910121,199101,Qtr 1,1,January,Jan,4,21,21,2,Monday,Mon,1,19911,21
19910122,1991-01-22,19910122,199101,Qtr 1,1,January,Jan,4,22,22,3,Tuesday,Tue,1,19911,22
19910123,1991-01-23,19910123,199101,Qtr 1,1,January,Jan,4,23,23,4,Wednesday,Wed,1,19911,23
19910124,1991-01-24,19910124,199101,Qtr 1,1,January,Jan,4,24,24,5,Thursday,Thu,1,19911,24
19910125,1991-01-25,19910125,199101,Qtr 1,1,January,Jan,4,25,25,6,Friday,Fri,1,19911,25
19910126,1991-01-26,19910126,199101,Qtr 1,1,January,Jan,4,26,26,7,Saturday,Sat,1,19911,26
19910127,1991-01-27,19910127,199101,Qtr 1,1,January,Jan,4,27,27,1,Sunday,Sun,1,19911,27
19910128,1991-01-28,19910128,199101,Qtr 1,1,January,Jan,5,28,28,2,Monday,Mon,1,19911,28
19910129,1991-01-29,19910129,199101,Qtr 1,1,January,Jan,5,29,29,3,Tuesday,Tue,1,19911,29
19910130,1991-01-30,19910130,199101,Qtr 1,1,January,Jan,5,30,30,4,Wednesday,Wed,1,19911,30
19910131,1991-01-31,19910131,199101,Qtr 1,1,January,Jan,5,31,31,5,Thursday,Thu,1,19911,31
19910201,1991-02-01,19910201,199102,Qtr 1,2,February,Feb,5,32,1,6,Friday,Fri,1,19911,32
