CUST_NO,PRODUCT,DEALERSHIP,PAYMENT_DESC,PROMO_ID,DATE_ID,TRANSACTION_DATE,TRANSACTION_ID,EMPLOYEE_ID,TIME_KEY,SELLING_PRICE,DELIVERY_CHARGES,QUANTITY,DISCOUNT,HOLDBACK,REBATE
6591,2004,21,Loan,200,2452276,01/10/2005 00:00:00,1046356,86465,132112,54771.93,540.00,1,13.344736,1350.00,810.00
4530,86502,13,Bank Draft,200,2452278,01/10/2005 00:00:00,1046648,86438,172543,626.33,12.10,1,15.752551,15.13,9.08
4530,86539,13,Lease,200,2452278,01/10/2005 00:00:00,1046648,86401,110524,1674.76,18.50,1,0.000000,46.25,27.75
5042,86541,21,Bank Draft,200,2452279,01/10/2005 00:00:00,1046685,86475,135031,729.53,7.05,1,15.761641,17.63,10.58
6001,86520,4,Bank Draft,200,2452279,01/10/2005 00:00:00,1047994,86412,95031,191.43,3.50,1,23.061251,4.38,2.63
6001,86506,4,Lease,200,2452279,01/10/2005 00:00:00,1047994,86466,81949,536.44,11.00,1,8.481262,13.75,8.25
5042,86527,21,Loan,200,2452279,01/10/2005 00:00:00,1046685,86475,84413,436.94,17.40,2,12.129190,21.75,13.05
5042,86523,21,Cash,200,2452279,01/10/2005 00:00:00,1046685,86447,85805,2590.19,23.45,1,24.255410,58.63,35.18
5042,86512,21,Lease,200,2452279,01/10/2005 00:00:00,1046685,86447,143730,4302.96,45.00,1,6.051711,112.50,67.50
5042,86535,21,Loan,200,2452279,01/10/2005 00:00:00,1046685,86447,155945,359.09,3.25,1,24.245629,8.13,4.88
977,2001,25,Lease,200,2452280,01/10/2005 00:00:00,1047071,86452,134001,83048.01,780.00,1,19.400568,1950.00,1170.00
5819,2003,22,Bank Draft,200,2452280,01/10/2005 00:00:00,1046630,86404,144023,85317.59,840.00,1,13.322262,2100.00,1260.00
5560,86525,8,Cash,200,2452282,01/10/2005 00:00:00,1046763,86491,84354,229.74,4.40,1,16.984402,5.50,3.30
5560,86513,8,Other,200,2452282,01/10/2005 00:00:00,1046763,86428,130907,3294.38,34.50,1,6.061388,86.25,51.75
5427,86512,27,Bank Draft,200,2452283,01/10/2005 00:00:00,1047492,86494,140436,4302.96,45.00,1,6.051711,112.50,67.50
5427,86528,27,Loan,200,2452283,01/10/2005 00:00:00,1047492,86494,102731,453.31,4.25,1,19.356162,10.63,6.38
5427,86540,27,Cash,200,2452283,01/10/2005 00:00:00,1047492,86494,131419,1171.29,22.40,1,16.953437,28.00,16.80
